rank,bank,country,assets,balance
1,Industrial & Commercial Bank of China,China,"3,764.27",6/30/2017
2,China Construction Bank Corp,China,"3,200.38",6/30/2017
3,Agricultural Bank of China,China,"3,035.37",6/30/2017
4,Bank of China,China,"2,866.05",6/30/2017
5,Mitsubishi UFJ Financial Group,Japan,"2,713.60",6/30/2017
6,JPMorgan Chase & Co,USA,"2,563.17",6/30/2017
7,HSBC Holdings,UK,"2,492.44",6/30/2017
8,BNP Paribas,France,"2,447.84",6/30/2017
9,Bank of America,USA,"2,254.53",6/30/2017
10,China Development Bank,China,"2,080.27",12/31/2016
11,Credit Agricole Group,France,"1,989.22",6/30/2017
12,Wells Fargo,USA,"1,930.87",6/30/2017
13,Japan Post Bank,Japan,"1,875.43",6/30/2017
14,Citigroup Inc,USA,"1,864.06",6/30/2017
15,Sumitomo Mitsui Financial Group,Japan,"1,800.60",6/30/2017
16,Deutsche Bank,Germany,"1,791.92",6/30/2017
17,Mizuho Financial Group,Japan,"1,789,67",6/30/2017
18,Banco Santander,Spain,"1,650.88",6/30/2017
19,Societe Generale,France,"1,542.32",6/30/2017
20,Barclays PLC,UK,"1,476.10",6/30/2017
21,Groupe BPCE,France,"1,414.42",6/30/2017
22,Bank of Communications,China,"1,317.63",6/30/2017
23,Postal Savings Bank of China,China,"1,260.53",6/30/2017
24,Lloyds Banking Group,UK,"1,059.53",6/30/2017
25,Royal Bank of Scotland Group,UK,"1,017.58",6/30/2017
26,Norinchukin Bank,Japan,"1,001.72",6/30/2017
27,ING Groep NV,Netherlands,984.695,6/30/2017
28,UniCredit S.p.A.,Italy,944.804,6/30/2017
29,Industrial Bank Co. Ltd,China,941.973,6/30/2017
30,UBS Group AG,Switzerland,930.246,6/30/2017
31,Toronto-Dominion Bank,Canada,926.084,7/31/2017
32,Royal Bank of Canada,Canada,925.056,7/31/2017
33,China Merchants Bank,China,914.684,6/30/2017
34,Goldman Sachs Group,USA,906.518,6/30/2017
35,Credit Mutuel,France,906.391,12/31/2016
36,Intesa Sanpaolo,Italy,900.129,6/30/2017
37,Agricultural Development Bank of China,China,873.419,6/30/2017
38,Shanghai Pudong Development Bank,China,872.74,6/30/2017
39,China Minsheng Banking Corp,China,850.877,6/30/2017
40,Morgan Stanley,USA,841.016,6/30/2017
41,China CITIC Bank Corp,China,833.763,6/30/2017
42,Credit Suisse Group,Switzerland,818.073,6/30/2017
43,BBVA,Spain,802.364,6/30/2017
44,Commonwealth Bank of Australia,Australia,750.392,6/30/2017
45,Nordea,Sweden,734.201,6/30/2017
46,Rabobank Group,Netherlands,711.859,6/30/2017
47,Bank of Nova Scotia,Canada,698.064,7/31/2017
48,Australia & New Zealand Banking Group,Australia,689.014,3/31/2017
49,Standard Chartered Plc,UK,657.638,6/30/2017
50,European Investment Bank,Luxembourg,654.749,12/31/2016
51,Westpac Banking Corp,Australia,645.577,3/31/2017
52,National Australia Bank,Australia,607.329,3/31/2017
53,China Everbright Bank,China,595.097,6/30/2017
54,DZ Bank AG,Germany,586.393,6/30/2017
55,KfW Group,Germany,567.366,6/30/2017
56,Sumitomo Mitsui Trust Holdings,Japan,565.334,6/30/2017
57,Commerzbank,Germany,556.582,6/30/2017
58,Danske Bank,Denmark,548.795,6/30/2017
59,Bank of Montreal,Canada,545.783,7/31/2017
60,State Bank of India,India,514.649,6/30/2017
61,The Export-Import Bank of China (Eximbank),China,491.888,12/31/2016
62,Cassa Depositi e Prestiti (CDP),Italy,474.042,6/30/2017
63,U.S. Bancorp,USA,463.844,6/30/2017
64,ABN AMRO Group NV,Netherlands,461.27,6/30/2017
65,Ping An Bank,China,456.184,6/30/2017
66,Resona Holdings,Japan,437.514,6/30/2017
67,Banco do Brasil SA,Brazil,437.059,6/30/2017
68,Sberbank of Russia,Russia,434.749,6/30/2017
69,CaixaBank,Spain,432.559,6/30/2017
70,Canadian Imperial Bank of Commerce,Canada,432.019,7/31/2017
71,Itau Unibanco Holding SA,Brazil,411.545,6/30/2017
72,Nomura Holdings,Japan,396.734,6/30/2017
73,Caixa Economica Federal,Brazil,387.367,3/31/2017
74,PNC Financial Services Group,USA,372.19,6/30/2017
75,KB Financial Group,South Korea,368.645,6/30/2017
76,Shinkin Central Bank (SCB),Japan,365.447,6/30/2017
77,Shinhan Financial Group,South Korea,361.365,6/30/2017
78,Banco Bradesco SA,Brazil,359.513,6/30/2017
79,Hua Xia Bank,China,357.497,6/30/2017
80,Bank of New York Mellon Corp,USA,354.815,6/30/2017
81,DBS Group Holdings,Singapore,353.323,6/30/2017
82,Capital One Financial Corporation,USA,350.593,6/30/2017
83,Svenska Handelsbanken,Sweden,350.231,6/30/2017
84,KBC Group NV,Belgium,338.659,6/30/2017
85,NongHyup Financial Group,South Korea,333.156,6/30/2017
86,Bank of Beijing,China,330.36,6/30/2017
87,Skandinaviska Enskilda Banken,Sweden,328.454,6/30/2017
88,DNB,Norway,324.948,6/30/2017
89,OCBC Bank (Oversea-Chinese Banking Corp),Singapore,311.872,6/30/2017
90,Hana Financial Group,South Korea,304.734,6/30/2017
91,China Guangfa Bank (CGB),China,302.156,12/31/2016
92,Nationwide Building Society,UK,297.609,6/30/2017
93,Landesbank Baden-Wurttemberg,Germany,291.336,6/30/2017
94,Swedbank,Sweden,286.955,6/30/2017
95,Cathay Financial Holding,Taiwan,278.273,6/30/2017
96,Woori Bank,South Korea,275.941,6/30/2017
97,Brazilian Development Bank (BNDES),Brazil,267.155,6/30/2017
98,La Banque Postale,France,266.114,6/30/2017
99,Bank of Jiangsu,China,254.822,6/30/2017
100,Bank of Shanghai,China,252.497,6/30/2017
101,Bayerische Landesbank,Germany,252.385,6/30/2017
102,United Overseas Bank (UOB),Singapore,250.03,6/30/2017
103,Erste Group Bank AG,Austria,249.193,6/30/2017
104,Banco Sabadell,Spain,248.396,6/30/2017
105,State Street Corp,USA,238.274,6/30/2017
